kb_model,location,roi_height,roi_width,angle,description
01A03M001-T01,C193,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C174,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C185,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C178,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C195,420,210,0,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C189,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C180,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C198,420,210,0,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C183,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C176,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C194,420,210,0,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C179,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C200,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C203,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C199,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C201,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C186,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C187,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C177,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C175,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C182,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C197,420,210,0,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C188,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C190,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C181,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C196,420,210,0,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C202,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C184,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C192,420,210,0,CHIP CAP C 10U 25V K0805 X5R
01A03M001-T01,C191,420,210,90,CHIP CAP C 10U 25V K0805 X5R
01A16M001-T01,C6,295,130,0,CHIP CAP 2.2UF 16V K0603 X5R NON
01A16M001-T01,C1,295,130,0,CHIP CAP 2.2UF 16V K0603 X5R NON
